"latitude","longitude","genus","species","dbh","year_min","year_max","crown","height","common","location","ref","maintenance","maturity","planted","updated","health","structure","description","family","address","significance","age"
"-37.787391835"," 144.98532498","Quercus","Q. robur",52,NA,NA,NA,12,"English Oak","park",114,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context","100+ years"
"-37.787753348"," 144.98410966","Quercus","Q. robur",72,NA,NA,NA,16,"English Oak","park",115,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context","100+ years"
"-37.787730478"," 144.98461372","Eucalyptus","E. botryoides",113,NA,NA,NA,28,"Southern Mahogany","park",116,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Outstanding Size, Particularly Old","100+ years"
"-37.78688208"," 144.98242882","Ulmus","U. x hollandica",77,NA,NA,NA,23,"Dutch Elm","park",117,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.786848148"," 144.98171166","Ulmus","U. x hollandica",69,NA,NA,NA,20,"Dutch Elm","park",118,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context","100+ years"
"-37.786848148"," 144.98171166","Quercus","Q. ilex",145,NA,NA,NA,20,"Holm Oak","park",119,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Rare or Localised, Horticultural Value","100+ years"
"-37.787420819"," 144.98134393","Quercus","Q. ilex",177,NA,NA,NA,20,"Holm Oak","park",120,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Example of the Species, Outstanding Size, Particularly Old","100+ years"
"-37.788161177"," 144.98628092","Eucalyptus","E. botryoides",136,NA,NA,NA,28,"Southern Mahogany","park",121,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Location of Landscape Context, Outstanding Size, Particularly Old","100+ years"
"-37.788161177"," 144.98628092","Washingtonia","W. robusta",60,NA,NA,NA,22,"Mexican Fan Palm","residential",122,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"79 ALFRED CRESCENT, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Location of Landscape Context","100+ years"
"-37.786233791"," 144.98163948","Phoenix","P. canariensis",70,NA,NA,NA,15,"Canary Island Date Palm","residential",123,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"79 ALFRED CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.788634285"," 144.99763576","Ulmus","U. minor 'Atinia'",70,NA,NA,NA,16,"English Elm","street",124,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"165 ALFRED CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.786469032"," 144.99288336","Ulmus","U. minor 'Atinia'",77,NA,NA,NA,16,"English Elm","street",125,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"2 RUSHALL CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context, Particularly Old","100+ years"
"-37.785067966"," 144.99197608","Magnolia","M. grandiflora",86,NA,NA,NA,12,"Bull Bay","residential",126,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"20 RUSHALL CRESCENT, FITZROY NORTH, 3068","Particularly Old, Aesthetic Value","81-100 years"
"-37.785737196"," 144.99212552","Ulmus","U. minor 'Atinia'",146,NA,NA,NA,20,"English Elm","residential",127,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"20 RUSHALL CRESCENT, FITZROY NORTH, 3068","Significant Habitat Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.785737196"," 144.99212552","Cupressus","C. sempervirens",120,NA,NA,NA,17,"Italian Cypress","residential",128,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"20 RUSHALL CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context, Outstanding Size, Particularly Old","100+ years"
"-37.787159715"," 144.98996896","Lophostemon","L. confertus",45,NA,NA,NA,8,"Queensland Brush Box","street",130,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"33 MICHAEL STREET, FITZROY NORTH, 3068","Location of Landscape Context","21-40 years"
"-37.78413085"," 144.9885401","Corymbia","C. maculata",79,NA,NA,NA,21,"Spotted Gum","park",132,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"245 SCOTCHMER STREET, FITZROY NORTH, 3068","Outstanding Size","61-80 years"
"-37.785318656"," 144.98826518","Ficus","F. macrophylla",114,NA,NA,NA,15,"Moreton Bay Fig","other",134,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"24 FALCONER STREET, FITZROY NORTH, 3068","Outstanding Example of the Species, Aesthetic Value, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.785318656"," 144.98826518","Ulmus","U. minor 'Atinia'",74,NA,NA,NA,15,"English Elm","park",135,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"0 BEST STREET, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","100+ years"
"-37.786829628"," 144.97774633","Ulmus","U. minor 'Atinia'",66,NA,NA,NA,12,"English Elm","park",136,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"0 BROOKES CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.786829628"," 144.97774633","Schinus","S. molle",126,NA,NA,NA,9,"Peppercorn Tree","other",137,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"9 ALFRED CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Particularly Old, Outstanding Size, Location of Landscape Context","100+ years"
"-37.783888277"," 144.98394981","Corymbia","C. maculata",76,NA,NA,NA,18,"Spotted Gum","other",138,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"51 FERGIE STREET, FITZROY NORTH, 3068","Location of Landscape Context","81-100 years"
"-37.784491316"," 144.98384779","Corymbia","C. maculata",88,NA,NA,NA,23,"Spotted Gum","other",139,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"51 FERGIE STREET, FITZROY NORTH, 3068","Location of Landscape Context, Outstanding Size","81-100 years"
"-37.784701809"," 144.98381871","Corymbia","C. maculata",70,NA,NA,NA,25,"Spotted Gum","other",140,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"51 FERGIE STREET, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context","81-100 years"
"-37.784863321"," 144.98413001","Corymbia","C. maculata",70,NA,NA,NA,21,"Spotted Gum","other",141,NA,"Mature",NA,"2012-09-26",NA,NA,NA,NA,"51 FERGIE STREET, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context","61-80 years"
"-37.780420216"," 144.98130698","Acacia","A. maidenii",70,NA,NA,NA,7,"Maiden's Wattle","park",153,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"0 BRUNSWICK STREET, FITZROY NORTH, 3068","Particularly Old, Location of Landscape Context","100+ years"
"-37.780211301"," 144.98001528","Schinus","S. molle",122,NA,NA,NA,12,"Peppercorn Tree","park",154,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"0 RAE STREET, FITZROY NORTH, 3068","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.780211301"," 144.98001528","Phoenix","P. canariensis",72,NA,NA,NA,11,"Canary Island Date Palm","street",155,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"308 PARK STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.779159234"," 144.97036443","Populus","P. alba 'Pyramidalis'",134,NA,NA,NA,16,"Silver Poplar","park",156,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"701 LYGON STREET, PRINCES HILL, 3054","Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.780804665"," 144.9820887","Ulmus","U. minor 'Atinia'",73,NA,NA,NA,16,"English Elm","street",157,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"204 PARK STREET, FITZROY NORTH, 3068","Location of Landscape Context, Particularly Old, Environmental Value","100+ years"
"-37.780804665"," 144.9820887","Ulmus","U. minor 'Atinia'",82,NA,NA,NA,19,"English Elm","other",158,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"175 MILLER STREET, FITZROY NORTH, 3068","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context, Environmental Value","100+ years"
"-37.77715397"," 144.98817199","Ulmus","U. minor 'Atinia'",74,NA,NA,NA,15,"English Elm","other",159,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"175 MILLER STREET, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value","81-100 years"
"-37.77688147"," 144.98832423","Schinus","S. molle",78,NA,NA,NA,10,"Peppercorn Tree","other",160,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"175 MILLER STREET, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context, Environmental Value","81-100 years"
"-37.788403982"," 144.97930944","Phoenix","P. canariensis",66,NA,NA,NA,24,"Canary Island Date Palm","street",164,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"166 RAE STREET, FITZROY NORTH, 3068","Location of Landscape Context, Outstanding Size","61-80 years"
"-37.788403982"," 144.97930944","Ulmus","U. minor 'Atinia'",43,NA,NA,NA,17,"English Elm","residential",167,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"300 PIGDON STREET, PRINCES HILL, 3054","Aesthetic Value, Outstanding Size, Location of Landscape Context","61-80 years"
"-37.781276536"," 144.96596497","Ulmus","U. minor 'Atinia'",82,NA,NA,NA,14,"English Elm","street",168,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"303 PIGDON STREET, PRINCES HILL, 3054","Aesthetic Value, Location of Landscape Context","100+ years"
"-37.781540687"," 144.96777331","Cupressus","C. torulosa",106,NA,NA,NA,19,"Bhutan Cypress","street",169,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"1036 DRUMMOND STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.779974856"," 144.97209169","Corymbia","C. citriodora",121,NA,NA,NA,19,"Lemon-scented Gum","street",170,NA,"Mature",NA,"2012-09-27",NA,NA,NA,NA,"1031 DRUMMOND STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.783980592"," 144.97202779","Eucalyptus","E. saligna",71,NA,NA,NA,19,"Sydney Blue Gum","residential",171,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"872 DRUMMOND STREET, CARLTON NORTH, 3054","Location of Landscape Context, Outstanding Size, Particularly Old","81-100 years"
"-37.789853059"," 144.97472823","Platanus","P. x acerifolia",72,NA,NA,NA,17,"London Plane","street",172,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"368 STATION STREET, CARLTON NORTH, 3054","Location of Landscape Context","61-80 years"
"-37.787968978"," 144.97560487","Eucalyptus","E. saligna",101,NA,NA,NA,25,"Sydney Blue Gum","other",174,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 NEWRY STREET, CARLTON NORTH, 3054","Outstanding Example of the Species, Outstanding Size, Location of Landscape Context, Environmental Value","81-100 years"
"-37.789324481"," 144.97518667","Quercus","Q. robur",65,NA,NA,NA,16,"English Oak","other",177,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 NEWRY STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.788079091"," 144.97006977","Ulmus","U. minor 'Atinia'",84,NA,NA,NA,22,"English Elm","park",178,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"7 SHAKESPEARE STREET, CARLTON NORTH, 3054","Outstanding Size, Location of Landscape Context","61-80 years"
"-37.789056277"," 144.97283662","Ulmus","U. minor 'Atinia'",111,NA,NA,NA,17,"English Elm","park",179,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 CURTAIN STREET, CARLTON NORTH, 3054","Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.789646433"," 144.97239147","Ficus","F. macrophylla",152,NA,NA,NA,25,"Moreton Bay Fig","park",180,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 CURTAIN STREET, CARLTON NORTH, 3054","Outstanding Size, Particularly Old","100+ years"
"-37.786853269"," 144.97251895","Ulmus","U. minor 'Atinia'",60,NA,NA,NA,20,"English Elm","residential",181,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"448 RATHDOWNE STREET, CARLTON NORTH, 3054","Particularly Old, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.780507809"," 144.97322173","Corymbia","C. citriodora",58,NA,NA,NA,16,"Lemon-scented Gum","street",182,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"995 RATHDOWNE STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context, Environmental Value","61-80 years"
"-37.780507809"," 144.97322173","Lophostemon","L. confertus",39,NA,NA,NA,14,"Queensland Brush Box","street",183,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"716 RATHDOWNE STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context, Environmental Value","21-40 years"
"-37.781713383"," 144.97332875","Lophostemon","L. confertus",67,NA,NA,NA,18,"Queensland Brush Box","street",184,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"656 RATHDOWNE STREET, CARLTON NORTH, 3054","Aesthetic Value, Location of Landscape Context, Environmental Value","61-80 years"
"-37.788811263"," 144.97442296","Corymbia","C. maculata",90,NA,NA,NA,15,"Spotted Gum","street",185,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"333 CANNING STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","81-100 years"
"-37.785556532"," 144.96879398","Lophostemon","L. confertus",54,NA,NA,NA,10,"Queensland Brush Box","street",186,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"212 MACPHERSON STREET, PRINCES HILL, 3054","Location of Landscape Context","41-60 years"
"-37.785634654"," 144.96857418","Lophostemon","L. confertus",69,NA,NA,NA,11,"Queensland Brush Box","park",187,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"214 MACPHERSON STREET, PRINCES HILL, 3054","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.802870101"," 145.00234476","Phoenix","P. canariensis",107,NA,NA,NA,22,"Canary Island Date Palm","park",188,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"218 MACPHERSON STREET, PRINCES HILL, 3054","Significant Habitat Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.789738552"," 144.97336002","Washingtonia","W. robusta",149,NA,NA,NA,24,"Mexican Fan Palm","park",189,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 CURTAIN STREET, CARLTON NORTH, 3054","Outstanding Size, Particularly Old","100+ years"
"-37.789440977"," 144.9736007","Platanus","P. x acerifolia",170,NA,NA,NA,24,"London Plane","park",190,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 CURTAIN STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.789103451"," 144.97348764","Quercus","Q. palustris",154,NA,NA,NA,24,"Pin Oak","park",191,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 CURTAIN STREET, CARLTON NORTH, 3054","Outstanding Size, Particularly Old","100+ years"
"-37.790690296"," 144.97254962","Platanus","P. x acerifolia",52,NA,NA,NA,17,"London Plane","other",192,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"307 CANNING STREET, CARLTON NORTH, 3054","Location of Landscape Context","41-60 years"
"-37.803436265"," 144.98270729","Phoenix","P. canariensis",59,NA,NA,NA,11,"Canary Island Date Palm","street",193,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 PIGDON STREET, PRINCES HILL, 3054","Location of Landscape Context","61-80 years"
"-37.780241855"," 144.96711664","Ulmus","U. minor 'Atinia'",72,NA,NA,NA,14,"English Elm","residential",194,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"162 ARNOLD STREET, PRINCES HILL, 3054","Location of Landscape Context","61-80 years"
"-37.780827796"," 144.96808008","Phoenix","P. canariensis",70,NA,NA,NA,24,"Canary Island Date Palm","other",195,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 PIGDON STREET, PRINCES HILL, 3054","Outstanding Example of the Species, Outstanding Size","61-80 years"
"-37.780209554"," 144.96867656","Ulmus","U. minor 'Atinia'",78,NA,NA,NA,13,"English Elm","street",196,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"0 PIGDON STREET, PRINCES HILL, 3054","Location of Landscape Context","61-80 years"
"-37.784814937"," 144.96652551","Cupressus","C. sempervirens",53,NA,NA,NA,10,"Italian Cypress","street",198,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"11 WILSON STREET, PRINCES HILL, 3054","Location of Landscape Context","21-40 years"
"-37.792660189"," 144.97555554","Washingtonia","W. filifera",87,NA,NA,NA,16,"Desert Fan Palm","park",199,NA,"Mature",NA,"2012-10-01",NA,NA,NA,NA,"20 PRINCES STREET, CARLTON NORTH, 3054","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.785663141"," 144.99030073","Washingtonia","W. filifera",80,NA,NA,NA,18,"Desert Fan Palm","residential",200,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"78 ROWE STREET, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Location of Landscape Context","100+ years"
"-37.78948286"," 144.98656607","Eucalyptus","E. camaldulensis",80,NA,NA,NA,16,"River Red Gum","residential",201,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"106 MCKEAN STREET, FITZROY NORTH, 3068","Location of Landscape Context","81-100 years"
"-37.776543995"," 144.98578633","Platanus","P. x acerifolia",60,NA,NA,NA,14,"London Plane","residential",202,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"149 MILLER STREET, FITZROY NORTH, 3068","Location of Landscape Context","41-60 years"
"-37.776543995"," 144.98578633","Brachychiton","B. acerifolius",70,NA,NA,NA,22,"Flame Tree","residential",203,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"23 YARRALEA STREET, ALPHINGTON, 3078","Location of Landscape Context, Outstanding Size","61-80 years"
"-37.793625796"," 144.99369351","Ulmus","U. minor 'Atinia'",87,NA,NA,NA,19,"English Elm","street",204,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"481 HODDLE STREET, CLIFTON HILL, 3068","Outstanding Size, Environmental Value","81-100 years"
"-37.793625796"," 144.99369351","Quercus","Q. suber",60,NA,NA,NA,13,"Cork Oak","residential",205,NA,"Mature",NA,"2012-10-03",NA,NA,NA,NA,"109 RAMSDEN STREET, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.799340861"," 144.98693578","Eucalyptus","E. melliodora",72,NA,NA,NA,23,"Yellow Box","industrial",237,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"35 JOHNSTON STREET, COLLINGWOOD, 3066","Outstanding Size, Location of Landscape Context","61-80 years"
"-37.785974375"," 144.99820195","Ulmus","U. minor 'Atinia'",71,NA,NA,NA,11,"English Elm","park",241,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"0 HEIDELBERG ROAD, CLIFTON HILL, 3068","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.790985832"," 144.9854569","Platanus","P. x acerifolia",48,NA,NA,NA,13,"London Plane","street",242,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"158 QUEENS PARADE, FITZROY NORTH, 3068","Location of Landscape Context","61-80 years"
"-37.790985832"," 144.9854569","Platanus","P. x acerifolia",50,NA,NA,NA,14,"London Plane","street",243,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"7 QUEENS PARADE, CLIFTON HILL, 3068","Location of Landscape Context","61-80 years"
"-37.790985832"," 144.9854569","Schinus","S. molle",150,NA,NA,NA,15,"Peppercorn Tree","park",244,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"41 ALEXANDER STREET, CLIFTON HILL, 3068","Outstanding Size, Particularly Old","100+ years"
"-37.794362909"," 144.9912874","Schinus","S. molle",80,NA,NA,NA,9,"Peppercorn Tree","street",245,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"41 ALEXANDER STREET, CLIFTON HILL, 3068","Particularly Old","100+ years"
"-37.794337922"," 144.99098755","Schinus","S. molle",130,NA,NA,NA,15,"Peppercorn Tree","street",246,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"41 ALEXANDER STREET, CLIFTON HILL, 3068","Particularly Old, Outstanding Size","100+ years"
"-37.794337922"," 144.99098755","Ulmus","U. minor 'Atinia'",82,NA,NA,NA,14,"English Elm","street",247,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"24 ALEXANDRA PARADE, CLIFTON HILL, 3068","Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.7939161"," 144.98651444","Schinus","S. molle",75,NA,NA,NA,8,"Peppercorn Tree","street",248,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"2 ALEXANDRA PARADE, CLIFTON HILL, 3068","Aesthetic Value, Particularly Old, Location of Landscape Context","100+ years"
"-37.794065936"," 144.98673497","Schinus","S. molle",111,NA,NA,NA,12,"Peppercorn Tree","street",249,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"11 ALEXANDRA PARADE, COLLINGWOOD, 3066","Particularly Old, Aesthetic Value, Outstanding Size, Location of Landscape Context","100+ years"
"-37.794226572"," 144.98799953","Ulmus","U. minor 'Atinia'",92,NA,NA,NA,18,"English Elm","street",250,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"49 ALEXANDRA PARADE, COLLINGWOOD, 3066","Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.794226572"," 144.98799953","Schinus","S. molle",116,NA,NA,NA,12,"Peppercorn Tree","street",251,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"49 ALEXANDRA PARADE, COLLINGWOOD, 3066","Curious Growth Form, Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.794192673"," 144.98836892","Schinus","S. molle",128,NA,NA,NA,10,"Peppercorn Tree","street",252,NA,"Mature",NA,"2012-10-08",NA,NA,NA,NA,"58 ALEXANDRA PARADE, CLIFTON HILL, 3068","Aesthetic Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
